,Blocking_patent,Blocking_action,Blocked_app
383,6882709,103a,11853591
384,6882709,103a,11780788
385,6882709,103a,11853591
386,6882709,103a,11651092
387,6882709,103a,11780748
388,6882709,103a,11780748
389,6882709,103a,10974497
390,6882709,119,12844165
391,6882709,103a,12844165
392,6882709,103a,12844165
393,6882709,103a,12844165
394,6882709,103a,12844165
395,6882709,103a,12844165
396,6882709,103a,12844165
397,6882709,103a,12844165
398,6882709,103a,12844165
399,6882709,103a,12844165
400,6882709,103a,11651092
401,6882709,119,12844165
402,6882709,103a,12844165
403,6882709,103a,12844165
404,6882709,103a,12844165
405,6882709,103a,12844165
406,6882709,103a,12844165
407,6882709,103a,12844165
408,6882709,103a,12190406
409,6882709,103a,12190406
410,6882709,103a,12190406
411,6882709,103a,12190406
412,6882709,103a,12190406
413,6882709,103a,12190406
414,6882709,103a,12190406
415,6882709,103a,12830585
416,6882709,103a,12830585
417,6882709,103a,12830585
418,6882709,102b,12844165
419,6882709,103a,12844165
420,6882709,103a,12844165
421,6882709,103a,12844165
422,6882709,103a,12830585
423,6882709,103a,12830585
424,6882709,103a,12830585
425,6307846,102b,11050357
426,6307846,103a,11856788
427,6307846,103a,11765994
428,6307846,103a,11765994
429,6307846,103a,12197428
430,6307846,102b,11050357
431,6307846,103a,11681156
432,6307846,102b,11050357
433,6307846,103a,11050357
434,6307846,103a,13051659
435,6307846,103a,11681156
436,6307846,103a,13051659
437,6307846,119,11050357
438,6307846,102b,11050357
439,6307846,103a,11050357
440,5656917,112,13357137
441,6876543,103a,12360750
442,6876543,103a,12360750
443,5991447,103a,12087488
444,5991447,103a,10588404
445,5991447,103a,10588404
446,7042879,103,12030284
447,6968158,103a,11957595
448,7108914,103a,12044654
449,7108914,103a,12595905
450,6044158,103,11459193
451,6223035,103a,12159377
452,7567239,102e,12061368
453,6791995,103,11586383
454,6791995,103,11586383
455,6791995,103a,12499450
456,7020198,103a,11959937
457,5661635,103a,13304554
458,5661635,103,13304554
459,5966671,103a,11519049
460,6321073,103a,11131147
461,6321073,103a,11862330
462,6321073,103a,11862330
463,6321073,103a,11131147
464,6321073,103a,11131147
465,6321073,103a,11376502
466,6321073,103a,11376502
467,6321073,103a,11131147
468,6321073,103a,11131147
469,6321073,103a,11376502
470,6321073,103a,11376502
471,6321073,103a,11376502
472,6321073,103a,11376502
473,6321073,103a,11376502
474,6321073,119,11373612
475,6321073,103a,11862330
476,7095403,103a,12391564
477,6901122,103,13001194
478,6901122,103,13001598
479,6901122,103,13001269
480,5781547,102b,11929580
481,5781547,103a,11929580
482,5781547,103a,11929580
483,7461106,119,12196414
484,7461106,119,12047632
485,7461106,119,12047632
486,7461106,112,12047632
487,7461106,112,12047632
488,7461106,112,12047632
489,7126996,103a,12346387
490,7126996,103a,12346387
491,7126996,102b,11963265
492,7126996,103a,11963265
493,7126996,103a,12167450
494,7126996,103a,12167450
495,7126996,103a,12167450
496,7126996,119,12167450
497,7126996,103a,12167450
498,7126996,103a,12167450
499,7126996,103a,13555780
500,7126996,103a,12167450
501,7126996,103a,12167450
502,7126996,103a,12167450
503,7126996,103a,13555773
504,7126996,103a,13555758
505,7126996,103a,12528419
506,7126996,103a,13555743
507,7126996,103a,13371162
508,7126996,119a,14175564
509,6108046,103a,11932978
510,6108046,103a,11932978
511,6108046,103a,11932978
512,6108046,103a,11646219
513,6108046,103a,11646219
514,6108046,103a,11646219
515,6108046,103a,11646219
516,6658272,103a,12856275
517,6658272,103a,12856275
518,6658272,103,12019291
519,6658272,103,12019291
520,6658272,103a,10294286
521,6658272,103a,10294286
522,6658272,102e,10813280
523,6658272,103,12856275
524,6658272,103,12856275
525,6658272,103a,12856275
526,6658272,103a,12856275
527,6658272,103a,12941924
528,6658272,103,12856275
529,6658272,103a,12856275
530,6421607,102b,11933149
531,6421607,102b,11933149
532,6795768,102b,12164916
533,6795768,102b,12164916
534,6795768,102b,12164916
535,5966656,103a,12901876
536,5966656,103a,12901876
537,5966656,103a,12901876
538,6009325,119,13551726
539,6009325,119,13337357
540,7310375,119,12951732
541,7310375,119a,12951732
542,5995840,103a,11423931
543,7282891,102e,12839797
544,6128287,103a,11549931
545,6128287,103a,11549931
546,7697480,119a,11282331
547,7697480,119a,11282331
548,7697480,112,12068740
549,6609004,103a,11728195
550,6609004,103a,11728195
551,7242923,103a,11877956
552,7242923,103a,11653408
553,7239896,103a,12573264
554,7239896,103a,12573264
555,7239896,103a,12587227
