pub_year,CitMonth,count
2010,2011-09,10
2010,2011-10,9
2010,2011-11,17
2010,2011-12,8
2010,2012-01,9
2010,2012-02,13
2010,2012-03,13
2010,2012-04,20
2010,2012-05,33
2010,2012-06,21
2010,2012-07,20
2010,2012-08,30
2010,2012-09,26
2010,2012-10,38
2010,2012-11,17
2010,2012-12,15
2010,2013-01,38
2010,2013-02,20
2010,2013-03,22
2010,2013-04,37
2010,2013-05,21
2010,2013-06,32
2010,2013-07,36
2010,2013-08,40
2010,2013-09,25
2010,2013-10,38
2010,2013-11,37
2010,2013-12,28
2010,2014-01,35
2010,2014-02,19
2010,2014-03,21
2010,2014-04,32
2010,2014-05,32
2010,2014-06,35
2010,2014-07,42
2010,2014-08,34
2010,2014-09,45
2010,2014-10,51
2010,2014-11,35
2010,2014-12,55
2011,2011-01,0
2011,2011-02,0
2011,2011-03,0
2011,2011-04,0
2011,2011-05,0
2011,2011-06,0
2011,2011-07,1
2011,2011-08,1
2011,2011-09,0
2011,2011-10,1
2011,2011-11,4
2011,2011-12,7
2011,2012-01,8
2011,2012-02,8
2011,2012-03,8
2011,2012-04,17
2011,2012-05,10
2011,2012-06,12
2011,2012-07,20
2011,2012-08,10
2011,2012-09,12
2011,2012-10,20
2011,2012-11,11
2011,2012-12,10
2011,2013-01,11
2011,2013-02,16
2011,2013-03,17
2011,2013-04,20
2011,2013-05,14
2011,2013-06,25
2011,2013-07,23
2011,2013-08,21
2011,2013-09,30
2011,2013-10,40
2011,2013-11,33
2011,2013-12,29
2011,2014-01,48
2011,2014-02,24
2011,2014-03,26
2011,2014-04,32
2011,2014-05,28
2011,2014-06,34
2011,2014-07,34
2011,2014-08,37
2011,2014-09,32
2011,2014-10,26
2011,2014-11,43
2011,2014-12,44
2012,2011-01,0
2012,2011-02,0
2012,2011-03,0
2012,2011-04,0
2012,2011-05,0
2012,2011-06,0
2012,2011-07,0
2012,2011-08,0
2012,2011-09,0
2012,2011-10,0
2012,2011-11,0
2012,2011-12,0
2012,2012-01,0
2012,2012-02,0
2012,2012-03,0
2012,2012-04,0
2012,2012-05,0
2012,2012-06,0
2012,2012-07,1
2012,2012-08,1
2012,2012-09,2
2012,2012-10,2
2012,2012-11,4
2012,2012-12,2
2012,2013-01,6
2012,2013-02,6
2012,2013-03,4
2012,2013-04,9
2012,2013-05,8
2012,2013-06,9
2012,2013-07,19
2012,2013-08,15
2012,2013-09,16
2012,2013-10,17
2012,2013-11,13
2012,2013-12,22
2012,2014-01,30
2012,2014-02,12
2012,2014-03,25
2012,2014-04,22
2012,2014-05,17
2012,2014-06,21
2012,2014-07,31
2012,2014-08,19
2012,2014-09,21
2012,2014-10,30
2012,2014-11,27
2012,2014-12,31
2013,2011-01,0
2013,2011-02,0
2013,2011-03,0
2013,2011-04,0
2013,2011-05,0
2013,2011-06,0
2013,2011-07,0
2013,2011-08,0
2013,2011-09,0
2013,2011-10,0
2013,2011-11,0
2013,2011-12,0
2013,2012-01,0
2013,2012-02,0
2013,2012-03,0
2013,2012-04,0
2013,2012-05,0
2013,2012-06,0
2013,2012-07,0
2013,2012-08,0
2013,2012-09,0
2013,2012-10,0
2013,2012-11,0
2013,2012-12,0
2013,2013-01,0
2013,2013-02,0
2013,2013-03,0
2013,2013-04,0
2013,2013-05,0
2013,2013-06,0
2013,2013-07,2
2013,2013-08,3
2013,2013-09,1
2013,2013-10,8
2013,2013-11,6
2013,2013-12,10
2013,2014-01,29
2013,2014-02,8
2013,2014-03,24
2013,2014-04,21
2013,2014-05,24
2013,2014-06,13
2013,2014-07,14
2013,2014-08,15
2013,2014-09,25
2013,2014-10,18
2013,2014-11,33
2013,2014-12,24
2014,2011-01,0
2014,2011-02,0
2014,2011-03,0
2014,2011-04,0
2014,2011-05,0
2014,2011-06,0
2014,2011-07,0
2014,2011-08,0
2014,2011-09,0
2014,2011-10,0
2014,2011-11,0
2014,2011-12,0
2014,2012-01,0
2014,2012-02,0
2014,2012-03,0
2014,2012-04,0
2014,2012-05,0
