,PatentID,Blockings,Citations,Ratio,Blocking_appnumber
267,6298223,0,2,0.0,0
268,6470003,0,1,0.0,0
269,5886645,0,1,0.0,0
270,8412662,0,0,0.0,0
271,6936361,1,3,0.33333333333299997,1
272,6904094,0,6,0.0,0
273,7764644,1,4,0.25,1
274,RE43831,0,0,0.0,0
275,7519042,4,69,0.0579710144928,1
276,6319631,1,8,0.125,1
277,7130511,0,10,0.0,0
278,6525677,2,4,0.5,1
279,6198735,0,7,0.0,0
280,7079838,0,1,0.0,0
281,6789205,0,7,0.0,0
282,8544061,0,0,0.0,0
283,8310983,0,0,0.0,0
284,5805977,0,3,0.0,0
285,8447344,0,1,0.0,0
286,8126448,0,0,0.0,0
287,6105006,0,56,0.0,0
288,8886945,0,0,0.0,0
289,7620398,0,0,0.0,0
290,6829475,1,205,0.00487804878049,1
291,7408961,0,3,0.0,0
292,6996227,0,33,0.0,0
293,6175588,21,65,0.32307692307700003,7
294,6018671,3,20,0.15,2
295,6859611,0,0,0.0,0
296,5805095,1,1,1.0,1
297,6560298,0,3,0.0,0
298,6987738,1,22,0.0454545454545,1
299,7751431,0,1,0.0,0
300,6865347,0,20,0.0,0
301,6859490,0,0,0.0,0
302,6697637,1,5,0.2,1
303,8750419,0,0,0.0,0
304,8761392,0,0,0.0,0
305,8973084,0,0,0.0,0
306,5732387,7,14,0.5,1
307,6662010,2,4,0.5,1
308,8314838,0,0,0.0,0
309,7801494,0,0,0.0,0
310,9063564,0,0,0.0,0
311,6963061,0,0,0.0,0
312,6148211,0,11,0.0,0
313,7945004,0,1,0.0,0
314,6756142,0,1,0.0,0
315,8423355,0,0,0.0,0
316,6105095,0,0,0.0,0
317,8725833,0,0,0.0,0
318,7689250,0,2,0.0,0
319,5956490,0,34,0.0,0
320,6757337,2,17,0.117647058824,1
321,5940430,0,1,0.0,0
322,7373013,1,9,0.111111111111,1
323,6999782,0,60,0.0,0
324,5969508,0,8,0.0,0
325,7809412,0,0,0.0,0
326,6373829,0,20,0.0,0
327,6658268,0,14,0.0,0
328,6944455,2,1,2.0,1
329,6094628,0,2,0.0,0
330,6756938,6,59,0.101694915254,1
331,6671852,2,17,0.117647058824,2
332,5809538,0,27,0.0,0
333,7965990,0,3,0.0,0
334,7929860,0,0,0.0,0
335,9054891,0,0,0.0,0
336,6822611,1,14,0.07142857142860001,1
337,5958006,70,154,0.45454545454499995,7
338,7269402,0,3,0.0,0
