"","pub_year","cit_month","count"
"256","2010",2012-01-01,9
"257","2011",2012-01-01,8
"258","2012",2012-01-01,0
"259","2013",2012-01-01,0
"260","2014",2012-01-01,0
"261","1994",2012-02-01,0
"262","1996",2012-02-01,0
"263","1997",2012-02-01,16
"264","1998",2012-02-01,55
"265","1999",2012-02-01,93
"266","2000",2012-02-01,86
"267","2001",2012-02-01,84
"268","2002",2012-02-01,74
"269","2003",2012-02-01,71
"270","2004",2012-02-01,92
"271","2005",2012-02-01,75
"272","2006",2012-02-01,67
"273","2007",2012-02-01,38
"274","2008",2012-02-01,14
"275","2009",2012-02-01,23
"276","2010",2012-02-01,13
"277","2011",2012-02-01,8
"278","2012",2012-02-01,0
"279","2013",2012-02-01,0
"280","2014",2012-02-01,0
"281","1994",2012-03-01,0
"282","1996",2012-03-01,0
"283","1997",2012-03-01,8
"284","1998",2012-03-01,33
"285","1999",2012-03-01,113
"286","2000",2012-03-01,109
"287","2001",2012-03-01,84
"288","2002",2012-03-01,55
"289","2003",2012-03-01,58
"290","2004",2012-03-01,57
"291","2005",2012-03-01,58
"292","2006",2012-03-01,73
"293","2007",2012-03-01,43
"294","2008",2012-03-01,17
"295","2009",2012-03-01,15
"296","2010",2012-03-01,13
"297","2011",2012-03-01,8
"298","2012",2012-03-01,0
"299","2013",2012-03-01,0
"300","2014",2012-03-01,0
"301","1994",2012-04-01,0
"302","1996",2012-04-01,0
"303","1997",2012-04-01,12
"304","1998",2012-04-01,69
"305","1999",2012-04-01,108
"306","2000",2012-04-01,116
"307","2001",2012-04-01,88
"308","2002",2012-04-01,81
"309","2003",2012-04-01,84
"310","2004",2012-04-01,99
"311","2005",2012-04-01,70
"312","2006",2012-04-01,64
"313","2007",2012-04-01,51
"314","2008",2012-04-01,23
"315","2009",2012-04-01,26
"316","2010",2012-04-01,20
"317","2011",2012-04-01,17
"318","2012",2012-04-01,0
"319","2013",2012-04-01,0
"320","2014",2012-04-01,0
"321","1994",2012-05-01,0
"322","1996",2012-05-01,0
"323","1997",2012-05-01,14
"324","1998",2012-05-01,100
"325","1999",2012-05-01,161
"326","2000",2012-05-01,158
"327","2001",2012-05-01,129
"328","2002",2012-05-01,92
"329","2003",2012-05-01,80
"330","2004",2012-05-01,112
"331","2005",2012-05-01,102
"332","2006",2012-05-01,93
"333","2007",2012-05-01,49
"334","2008",2012-05-01,26
"335","2009",2012-05-01,23
"336","2010",2012-05-01,33
"337","2011",2012-05-01,10
"338","2012",2012-05-01,0
"339","2013",2012-05-01,0
"340","2014",2012-05-01,0
"341","1994",2012-06-01,0
"342","1996",2012-06-01,0
"343","1997",2012-06-01,9
"344","1998",2012-06-01,44
"345","1999",2012-06-01,111
"346","2000",2012-06-01,133
"347","2001",2012-06-01,79
"348","2002",2012-06-01,77
"349","2003",2012-06-01,89
"350","2004",2012-06-01,96
"351","2005",2012-06-01,79
"352","2006",2012-06-01,69
"353","2007",2012-06-01,54
"354","2008",2012-06-01,27
"355","2009",2012-06-01,24
"356","2010",2012-06-01,21
"357","2011",2012-06-01,12
"358","2012",2012-06-01,0
"359","2013",2012-06-01,0
"360","2014",2012-06-01,0
"361","1994",2012-07-01,0
"362","1996",2012-07-01,2
"363","1997",2012-07-01,21
"364","1998",2012-07-01,103
"365","1999",2012-07-01,154
"366","2000",2012-07-01,158
"367","2001",2012-07-01,104
"368","2002",2012-07-01,94
"369","2003",2012-07-01,94
"370","2004",2012-07-01,66
"371","2005",2012-07-01,99
"372","2006",2012-07-01,99
"373","2007",2012-07-01,54
"374","2008",2012-07-01,35
"375","2009",2012-07-01,23
"376","2010",2012-07-01,20
"377","2011",2012-07-01,20
"378","2012",2012-07-01,1
"379","2013",2012-07-01,0
"380","2014",2012-07-01,0
"381","1994",2012-08-01,0
"382","1996",2012-08-01,0
"383","1997",2012-08-01,10
"384","1998",2012-08-01,63
"385","1999",2012-08-01,129
"386","2000",2012-08-01,141
"387","2001",2012-08-01,94
"388","2002",2012-08-01,87
"389","2003",2012-08-01,75
"390","2004",2012-08-01,70
"391","2005",2012-08-01,91
"392","2006",2012-08-01,80
"393","2007",2012-08-01,67
"394","2008",2012-08-01,31
"395","2009",2012-08-01,26
"396","2010",2012-08-01,30
"397","2011",2012-08-01,10
"398","2012",2012-08-01,1
"399","2013",2012-08-01,0
"400","2014",2012-08-01,0
"401","1994",2012-09-01,0
"402","1996",2012-09-01,0
"403","1997",2012-09-01,15
"404","1998",2012-09-01,72
"405","1999",2012-09-01,134
"406","2000",2012-09-01,136
"407","2001",2012-09-01,93
"408","2002",2012-09-01,76
"409","2003",2012-09-01,66
"410","2004",2012-09-01,75
"411","2005",2012-09-01,56
"412","2006",2012-09-01,68
"413","2007",2012-09-01,50
"414","2008",2012-09-01,21
"415","2009",2012-09-01,15
"416","2010",2012-09-01,26
"417","2011",2012-09-01,12
"418","2012",2012-09-01,2
"419","2013",2012-09-01,0
"420","2014",2012-09-01,0
"421","1994",2012-10-01,0
"422","1996",2012-10-01,0
"423","1997",2012-10-01,17
"424","1998",2012-10-01,75
"425","1999",2012-10-01,114
"426","2000",2012-10-01,138
"427","2001",2012-10-01,125
"428","2002",2012-10-01,88
"429","2003",2012-10-01,85
"430","2004",2012-10-01,88
"431","2005",2012-10-01,80
"432","2006",2012-10-01,85
"433","2007",2012-10-01,62
"434","2008",2012-10-01,39
"435","2009",2012-10-01,22
"436","2010",2012-10-01,38
"437","2011",2012-10-01,20
"438","2012",2012-10-01,2
"439","2013",2012-10-01,0
"440","2014",2012-10-01,0
"441","1994",2012-11-01,0
"442","1996",2012-11-01,0
"443","1997",2012-11-01,10
"444","1998",2012-11-01,71
"445","1999",2012-11-01,86
"446","2000",2012-11-01,110
"447","2001",2012-11-01,84
"448","2002",2012-11-01,61
"449","2003",2012-11-01,70
"450","2004",2012-11-01,84
"451","2005",2012-11-01,73
"452","2006",2012-11-01,80
"453","2007",2012-11-01,53
"454","2008",2012-11-01,29
"455","2009",2012-11-01,22
"456","2010",2012-11-01,17
"457","2011",2012-11-01,11
"458","2012",2012-11-01,4
"459","2013",2012-11-01,0
"460","2014",2012-11-01,0
"461","1994",2012-12-01,0
"462","1996",2012-12-01,1
"463","1997",2012-12-01,8
"464","1998",2012-12-01,60
"465","1999",2012-12-01,100
"466","2000",2012-12-01,99
"467","2001",2012-12-01,92
"468","2002",2012-12-01,70
"469","2003",2012-12-01,72
"470","2004",2012-12-01,79
"471","2005",2012-12-01,59
"472","2006",2012-12-01,69
"473","2007",2012-12-01,36
