,Blocking_patent,Blocking_action,Blocked_app,Blocking_date,Final
483,7461106,119,12196414,2011-10-05,0
484,7461106,119,12047632,2011-10-18,1
486,7461106,112,12047632,2011-03-02,0
489,7126996,103a,12346387,2011-03-28,0
490,7126996,103a,12346387,2011-09-26,1
491,7126996,102b,11963265,2011-10-11,0
492,7126996,103a,11963265,2011-10-11,0
493,7126996,103a,12167450,2011-05-11,0
496,7126996,119,12167450,2011-10-07,0
497,7126996,103a,12167450,2011-10-07,0
499,7126996,103a,13555780,2012-11-02,0
500,7126996,103a,12167450,2012-04-18,1
503,7126996,103a,13555773,2012-10-24,0
504,7126996,103a,13555758,2012-10-25,0
505,7126996,103a,12528419,2012-02-24,0
506,7126996,103a,13555743,2012-10-24,0
507,7126996,103a,13371162,2013-04-22,0
508,7126996,119a,14175564,2014-09-03,0
509,6108046,103a,11932978,2011-11-14,1
512,6108046,103a,11646219,2011-11-17,1
514,6108046,103a,11646219,2011-07-19,0
516,6658272,103a,12856275,2011-03-22,0
518,6658272,103,12019291,2011-09-02,0
520,6658272,103a,10294286,2011-03-23,1
522,6658272,102e,10813280,2011-01-25,1
523,6658272,103,12856275,2011-10-11,1
525,6658272,103a,12856275,2012-07-10,1
527,6658272,103a,12941924,2012-09-19,0
528,6658272,103,12856275,2012-03-16,0
529,6658272,103a,12856275,2012-03-16,0
530,6421607,102b,11933149,2011-10-13,1
531,6421607,102b,11933149,2011-03-24,0
532,6795768,102b,12164916,2011-04-27,0
533,6795768,102b,12164916,2011-12-06,1
535,5966656,103a,12901876,2012-01-06,0
537,5966656,103a,12901876,2012-09-12,1
538,6009325,119,13551726,2012-09-13,0
539,6009325,119,13337357,2012-07-18,0
540,7310375,119,12951732,2012-04-03,0
541,7310375,119a,12951732,2013-02-26,0
542,5995840,103a,11423931,2011-06-06,1
543,7282891,102e,12839797,2012-08-30,0
544,6128287,103a,11549931,2011-04-14,0
545,6128287,103a,11549931,2012-01-10,0
546,7697480,119a,11282331,2011-03-08,0
548,7697480,112,12068740,2011-12-01,1
549,6609004,103a,11728195,2011-01-05,0
551,7242923,103a,11877956,2011-05-06,0
552,7242923,103a,11653408,2012-01-04,0
553,7239896,103a,12573264,2011-12-06,0
555,7239896,103a,12587227,2011-10-18,0
556,7239896,103a,12587227,2012-03-27,1
557,7239896,103a,13558531,2012-10-17,0
558,7586990,103a,12096220,2011-03-03,0
559,7586990,103a,12399769,2011-08-09,0
560,7640373,103a,12352486,2011-03-03,0
561,7640373,103,12352486,2011-03-03,0
563,7640373,103a,12125253,2011-06-15,0
564,7640373,103a,12352486,2011-08-09,1
565,5754953,103a,11696713,2011-06-07,1
566,7266198,103a,13041303,2012-09-12,0
567,7266198,103a,12911406,2012-09-05,0
568,7266198,102b,13336411,2012-01-30,0
569,7266198,103a,13041303,2013-03-05,1
570,7266198,103a,12911406,2013-01-11,1
571,7676583,103a,12383176,2011-06-15,0
572,6404764,102b,12197858,2012-04-27,0
573,5893036,103a,12900847,2012-05-21,0
574,6961427,103a,12818062,2012-04-17,0
575,6049707,103,11343751,2011-07-08,0
576,6049707,103a,13451839,2012-12-06,0
577,6049707,103,13451839,2012-12-06,0
578,7821996,103a,12500369,2011-05-03,0
579,6170005,103a,11419240,2011-06-21,1
580,6170005,103a,11947489,2011-06-24,0
581,6170005,103a,11947489,2011-11-14,1
582,6170005,103a,11666278,2012-06-11,0
583,5818887,103a,12717645,2012-02-10,0
584,7558587,103a,12197729,2012-08-20,1
585,7558587,103a,12197729,2012-01-31,0
586,6151362,103a,11677335,2011-11-23,1
587,6151362,103a,11677335,2011-06-21,0
588,6865384,103a,10289896,2011-11-14,1
589,6865384,103a,10289896,2011-05-23,0
590,7331793,102a,13432443,2012-12-07,0
591,7085576,102b,12190952,2011-09-08,0
592,7085576,103a,12190952,2011-09-08,0
593,7085576,103a,12196650,2011-11-23,0
594,7085576,103a,12196650,2012-04-20,1
595,7653383,103a,11609760,2011-06-09,1
596,7653383,103a,11609760,2011-12-14,0
597,7653383,103a,11609760,2012-07-18,1
598,7019491,103a,12163614,2011-08-19,1
599,7019491,103a,12163614,2011-04-27,0
600,7019491,103a,12163614,2012-05-24,0
601,7426175,103a,11691549,2011-05-12,0
602,6169886,103a,12257609,2011-06-30,0
603,5738583,103a,11635804,2011-07-21,0
605,5738583,103a,11323852,2011-10-26,0
606,5738583,102e,11875692,2011-09-08,0
607,5854785,103a,11619550,2011-02-03,0
608,5854785,103a,11619550,2011-08-17,1
609,5854785,103a,11565597,2011-02-09,1
610,6011699,102,13002008,2011-05-12,0
611,6011699,103a,12470400,2011-11-09,1
612,6011699,102b,12142079,2011-07-01,0
613,6011699,103a,12142079,2011-07-01,0
614,6011699,103a,12470400,2011-06-22,0
615,6011699,103a,12049854,2011-04-26,1
616,6011699,103a,10841957,2011-08-17,0
617,5991285,103a,10594053,2011-09-06,0
620,5991285,103a,10594053,2012-02-23,1
622,8767632,103a,12903593,2014-07-10,0
623,7477690,103a,12087349,2011-12-01,1
624,7477690,103a,12087349,2011-06-09,0
625,7477690,103a,12087349,2012-09-13,0
626,6643503,103a,12594927,2012-04-02,0
627,6760589,103a,10756163,2011-05-18,1
628,5901357,102b,13000146,2012-11-21,0
629,6080501,102e,11547583,2011-04-28,0
630,6940820,103a,11786162,2011-01-06,1
631,5928330,103a,11931196,2011-09-16,1
632,5928330,103a,11931196,2011-04-14,0
633,5928330,103,12346844,2011-09-01,0
634,5928330,103a,12083380,2012-01-27,0
635,5928330,103a,13100693,2012-09-27,0
636,5928330,103a,13100639,2012-10-01,0
637,5928330,102,12199814,2012-02-14,0
638,6236960,103a,12196414,2011-10-05,0
639,6236960,103a,12692245,2012-03-06,0
640,6236960,103a,12196414,2012-06-04,0
641,6014552,102b,12813607,2012-10-11,0
642,6014552,103a,12813607,2012-10-11,0
644,7085256,103a,11864432,2011-06-24,0
645,6810323,103a,12560267,2011-03-18,1
646,6810323,103,12704301,2011-11-14,0
647,6509659,103a,11846540,2011-07-15,0
649,6509659,103a,11846540,2011-12-16,0
651,6907237,103,12087060,2011-08-29,1
652,6907237,103,12087060,2011-02-16,0
653,6907237,103,12087060,2012-07-17,0
654,6649852,103a,12711923,2011-11-16,0
655,6649852,103a,12711923,2012-07-05,1
656,5857155,103a,11470886,2011-08-19,0
658,5857155,103a,11470886,2011-02-09,1
659,5857155,103a,11470886,2012-06-20,1
660,5857155,102b,13055812,2012-10-09,0
661,5857155,103a,13055812,2012-10-09,0
662,5857155,119,13055812,2013-03-22,1
663,5857155,102b,13055812,2013-03-22,1
664,5857155,103a,13055812,2013-03-22,1
665,5857155,102b,13055811,2013-03-15,0
666,7751826,103a,12484135,2011-10-04,0
667,7751826,103a,13441014,2013-05-09,0
668,7634565,103a,12040665,2011-02-15,1
670,6216086,103a,12020118,2011-03-16,0
671,6216086,103a,11428181,2011-06-09,0
673,6216086,103a,12733083,2013-02-21,0
674,6018764,119,11378895,2011-11-10,1
675,6018764,103a,11378895,2011-11-10,1
676,6018764,101,11378895,2011-04-01,0
677,5745695,103a,12845646,2012-11-09,0
678,6980818,103a,11836505,2011-04-15,1
679,7016319,102e,12401568,2011-10-17,0
680,6317411,103a,12720963,2011-12-27,0
682,6317411,103a,13123673,2013-02-19,0
684,6317411,103a,12605837,2013-06-20,0
685,7080397,103a,11444554,2011-02-11,1
686,7062261,103,12479555,2011-10-17,1
687,7062261,103,12479555,2011-01-20,0
688,7062261,103,12479555,2011-05-12,0
689,6374177,103a,12098514,2011-11-02,0
694,6374177,102e,12368277,2011-03-02,1
695,6321070,102b,13006163,2012-04-25,0
696,6321070,103a,13006163,2012-04-25,0
697,6321070,103a,12698957,2012-05-24,0
698,5923214,102b,12396171,2011-11-25,0
699,5923214,103a,11272017,2011-12-05,0
700,5923214,103a,11272017,2011-02-15,1
701,5923214,103a,11272017,2011-06-07,0
702,5923214,103a,11272017,2012-05-02,0
703,7243163,103a,10929029,2011-03-03,0
704,7243163,103a,12628901,2011-04-12,1
705,7243163,103a,11559567,2011-03-04,0
706,7243163,103a,12395426,2011-11-14,1
708,7243163,103,12400166,2011-06-28,0
709,7243163,102e,11368145,2012-02-15,0
710,7243163,103a,11368145,2012-02-15,0
711,7243163,103a,11368145,2013-03-13,1
712,7583973,103a,12478654,2011-08-11,0
713,7583973,103,12478654,2011-12-09,1
714,6972382,103a,11443763,2011-01-06,0
715,6334063,102b,12470808,2011-05-05,0
716,6334063,103a,12470808,2011-05-05,0
717,6114968,103a,11170392,2011-05-02,0
718,6112244,103a,13115044,2011-08-26,0
720,6112244,103a,13115044,2012-01-19,0
721,6915312,102h,12038189,2011-10-14,0
722,6915312,103a,12038189,2011-10-14,0
726,6487721,103a,11820286,2011-05-17,1
735,6487721,103a,11460543,2011-09-13,1
736,6487721,103a,11985143,2011-03-29,1
737,6487721,103a,12024044,2011-01-24,1
740,6487721,103a,12024044,2011-02-28,0
743,6487721,103a,11460543,2011-02-08,0
744,6487721,103a,10759620,2011-06-21,1
745,6043838,102b,11988032,2011-12-01,0
746,6043838,103a,12031295,2011-05-31,0
747,6043838,103a,11493434,2011-09-15,1
748,6043838,103a,11493434,2011-05-05,0
749,6043838,103a,11493434,2012-11-08,1
750,6043838,102e,13302518,2012-10-02,0
751,6043838,102b,12700186,2012-09-20,0
752,6043838,103a,12700186,2012-09-20,0
753,6043838,103a,11493434,2012-06-07,0
754,6043838,103a,10590135,2014-01-30,1
755,6529728,103a,12465414,2011-06-28,0
756,8224390,103a,12949086,2012-10-25,0
757,7688764,103a,11517883,2011-07-06,0
758,7688764,103a,11988362,2011-08-19,0
759,7688764,103a,11093323,2011-02-16,0
760,7688764,103a,11988362,2012-10-02,1
761,7688764,103a,11988362,2012-03-07,0
762,6012634,103a,11448117,2011-02-18,0
764,6012634,103,11448117,2011-02-18,0
765,6108314,103a,11778727,2011-10-21,1
766,6108314,103a,11778727,2011-02-18,0
767,7657272,103a,13010538,2012-11-26,0
768,6002948,102b,11761468,2011-07-19,0
769,6002948,103a,11761468,2011-07-19,0
770,6775536,103a,11967938,2011-03-04,0
771,7023814,103a,12133755,2011-10-14,1
772,6526031,103a,12403196,2012-09-10,0
773,5959546,103a,11690555,2011-03-02,0
775,5959546,103a,11690555,2011-09-01,0
776,5959546,103a,11690555,2012-03-22,1
777,5959546,103a,12475942,2012-08-29,1
779,5959546,103a,12475942,2012-02-03,0
781,7068719,103a,11799101,2011-03-16,0
783,7068719,103a,11799101,2011-07-27,1
784,7068719,103a,11799101,2012-03-29,0
786,7640020,103a,12807813,2012-10-17,1
787,6275693,103a,10565158,2011-04-15,0
788,6275693,103a,10565158,2011-11-30,1
789,8208434,103a,12949233,2013-10-21,1
790,8208434,103a,12949233,2014-03-28,0
791,6729547,103a,11962598,2011-03-22,0
792,5963848,103a,12814394,2012-08-06,0
793,8320878,103a,13075979,2013-07-03,1
794,6081510,103a,12053725,2011-04-15,1
795,6219703,103a,10969359,2011-08-29,0
797,6219703,103a,12847812,2012-03-07,0
798,6167268,103a,11355540,2011-12-19,1
799,6167268,102b,12040862,2011-01-21,0
800,6167268,103a,12040862,2011-01-21,0
801,6167268,103a,12040862,2011-12-28,0
803,6167268,103a,11355540,2011-06-21,0
804,6167268,103a,11355538,2011-03-15,1
805,6167268,102b,11355540,2011-01-21,1
806,6167268,102b,12040862,2011-07-05,1
807,6167268,103a,12040862,2011-07-05,1
808,7606303,101,11777918,2011-12-19,0
809,6134336,103a,11887316,2011-03-30,1
810,6134336,103a,11855275,2012-02-14,1
811,6313736,103a,11893720,2011-04-04,1
816,5771353,103a,12194311,2011-04-04,0
817,5771353,103a,10757609,2011-11-25,1
820,5771353,103a,12194311,2011-10-06,0
821,5771353,103a,10757609,2011-08-18,1
823,5771353,103a,10757609,2011-03-14,0
836,6377161,103a,10987917,2012-04-27,0
837,6285786,103a,12477582,2011-12-20,0
838,6285786,102b,12194780,2012-08-15,1
839,7831992,103a,11769029,2011-12-06,1
840,6009336,119a,11620071,2011-01-20,1
841,6009336,103a,11620071,2011-08-05,0
842,6169903,102b,13036393,2011-07-22,0
843,7171204,103a,11871286,2011-10-25,1
844,7171204,103a,11871286,2011-05-19,0
845,7600880,103a,12026367,2011-06-15,0
846,7103319,103a,10893389,2011-03-08,0
848,6134223,103a,11959650,2011-11-08,0
850,6134223,103,11959650,2011-11-08,0
854,6134223,103a,11959650,2012-05-17,1
856,6134223,103,11959650,2012-05-17,1
859,6694060,103a,12165625,2012-04-25,0
864,6434391,103a,12844361,2012-06-08,0
865,6434391,103,11719226,2012-01-27,0
866,6434391,103a,13597300,2014-08-05,0
867,7176838,112,12941011,2014-02-28,0
868,7176838,103a,12941011,2014-02-28,0
869,7176838,112,12941010,2014-02-18,0
870,7176838,103a,12941010,2014-02-18,0
871,7200363,102b,12495881,2011-12-13,0
872,7200363,103a,12495881,2011-12-13,0
873,7471749,103a,12065588,2011-09-12,0
874,6223291,103a,13413173,2012-05-11,0
876,6223291,103a,13413173,2012-11-30,0
879,6807527,103a,12748565,2012-04-30,0
880,6101175,103a,11739674,2011-01-25,1
881,6101175,103a,11739674,2011-12-06,1
882,6101175,103a,11739674,2011-05-25,0
883,7024207,103a,12187775,2011-10-12,1
884,7024207,103a,12187775,2011-06-06,0
885,6661371,103a,13014355,2013-01-10,0
886,7933238,101,13357430,2012-06-18,0
887,7933238,101,13357425,2012-08-16,0
888,6606483,103a,11599393,2011-11-08,1
889,6606483,119,12957856,2012-01-18,0
890,6606483,102b,13133792,2012-11-07,0
891,6005498,103a,12395012,2012-01-19,1
892,6764788,112,12907648,2012-12-12,0
893,7061879,102,11856788,2011-01-05,0
894,6958984,103a,11562979,2011-12-27,1
895,6958984,102b,13564068,2012-10-17,0
896,6842484,119a,12906761,2011-06-07,1
897,6842484,103a,12906761,2011-06-07,1
898,6819083,103a,12436562,2011-03-03,0
899,6819083,103a,12330875,2011-03-03,0
900,6259733,102b,12308907,2011-10-03,0
901,7180875,103a,12470616,2011-11-30,1
902,6944137,119a,11965875,2011-01-10,1
903,6944137,103a,11965875,2011-01-10,1
904,7796639,103a,12934919,2013-02-20,0
905,6134121,103a,13270414,2013-01-31,0
906,5640166,102a,10992173,2011-04-08,0
907,5640166,103a,10992173,2011-04-08,0
908,5640166,103a,10992173,2011-10-12,1
909,7787421,103a,12497172,2012-01-20,0
910,7149521,103a,12475942,2012-08-29,1
912,7149521,103a,12475942,2012-02-03,0
914,7035270,103a,12360107,2011-04-20,1
915,6104993,103,13024135,2012-10-25,1
916,6104993,103a,13024135,2012-04-11,0
917,6078809,103a,10626048,2014-03-18,0
918,6072831,103a,11396568,2011-11-14,0
919,6072831,103a,10989886,2011-02-23,0
920,6072831,103a,10934118,2011-03-18,0
921,6072831,103a,12158245,2011-11-28,0
922,6072831,103a,11396568,2012-03-27,1
923,6822974,103a,12130305,2011-04-01,0
925,8131286,103a,12715920,2012-05-29,0
926,7190263,102b,12080524,2011-12-09,0
927,7190263,102b,12080524,2012-03-14,1
928,7190263,103a,12603208,2012-08-17,0
929,7159120,103a,11493952,2011-05-27,1
