app_number,patent_number,blocked_app,blocking_type,patent_pub_year,blocking_month
"12/210,359",8037011,12466880,103a,2011,16
"11/648,249",7983426,12352323,103a,2011,8
"10/610,500",7266101,12646718,103a,2007,10
"11/970,981",7729366,11985512,103a,2010,5
"11/970,981",7729366,11985512,103a,2010,5
"11/970,981",7729366,11985512,103a,2010,5
"11/970,981",7729366,11985512,103a,2010,5
"11/970,981",7729366,11985512,103a,2010,5
"09/602,512",6857132,10498466,103a,2005,4
"09/602,512",6857132,11137606,103a,2005,3
"09/602,512",6857132,11137606,103a,2005,3
"09/602,512",6857132,11137606,103a,2005,3
"09/602,512",6857132,11137606,103a,2005,3
"09/602,512",6857132,11137606,103a,2005,3
"10/796,326",7257421,13160622,103a,2007,12
"10/796,326",7257421,13160622,103a,2007,16
"10/022,944",6597915,11176512,103a,2003,8
"10/022,944",6597915,11176512,103a,2003,1
"10/022,944",6597915,11176512,103a,2003,14
"08/735,295",5922047,11636998,103a,1999,4
"08/735,295",5922047,11636998,103a,1999,10
"10/074,114",6965763,11498011,102e,2005,4
"10/074,114",6965763,11498011,103a,2005,4
"10/074,114",6965763,11498011,103a,2005,4
"10/074,114",6965763,11498011,103a,2005,4
"10/074,114",6965763,11498011,102e,2005,9
"10/074,114",6965763,11498011,103a,2005,9
"10/074,114",6965763,11498011,103a,2005,9
"10/074,114",6965763,11498011,103a,2005,9
"10/074,114",6965763,11498011,103a,2005,9
"10/074,114",6965763,12600055,102b,2005,15
"10/074,114",6965763,11498011,102e,2005,14
"10/074,114",6965763,11498011,103a,2005,14
"10/074,114",6965763,11498011,103a,2005,14
"10/074,114",6965763,11498011,103a,2005,14
"10/074,114",6965763,11498011,103a,2005,14
"10/074,114",6965763,12600055,102b,2005,22
"11/616,357",7769370,12466111,102,2010,11
"11/616,357",7769370,12466111,103a,2010,11
"11/616,357",7769370,12466111,103a,2010,11
"11/616,357",7769370,12466111,103a,2010,11
"11/616,357",7769370,12466111,103a,2010,11
"08/701,294",5812956,11985764,103a,1998,3
"09/716,682",6948183,11959026,103a,2005,12
"09/716,682",6948183,11959026,103a,2005,5
"09/716,682",6948183,11959026,103a,2005,5
"09/716,682",6948183,11959026,103a,2005,5
"09/716,682",6948183,11959026,103a,2005,5
"09/716,682",6948183,11959026,103a,2005,5
"09/716,682",6948183,12824917,103a,2005,18
"09/716,682",6948183,12824917,103a,2005,18
"09/716,682",6948183,12824917,103a,2005,23
"09/716,682",6948183,12824917,103a,2005,23
"09/050,632",5956641,11844332,103a,1999,1
"09/050,632",5956641,11588187,103a,1999,3
"09/050,632",5956641,11588187,103a,1999,8
"09/050,632",5956641,12684393,103a,1999,16
"11/856,283",7667371,12715278,103a,2010,17
"11/856,283",7667371,12715278,103a,2010,22
"11/209,309",7139328,12383143,103a,2006,11
"11/209,309",7139328,11777671,103a,2006,12
"11/209,309",7139328,11382346,103a,2006,11
"11/209,309",7139328,11382346,103,2006,5
"11/209,309",7139328,11777671,103a,2006,8
"11/209,309",7139328,11777671,103a,2006,2
"11/209,309",7139328,12581218,102e,2006,13
"11/209,309",7139328,13132896,103a,2006,27
"09/439,026",6345307,12352997,103a,2002,2
"11/421,837",7676250,11948232,103a,2010,7
"11/421,837",7676250,11948232,103a,2010,12
"11/421,837",7676250,11948232,103a,2010,13
"09/671,949",7103782,11957721,112,2006,8
"09/165,487",6269336,11765900,103a,2001,4
"09/165,487",6269336,11765900,103a,2001,4
"09/165,487",6269336,11765900,103a,2001,4
"09/165,487",6269336,11765900,103a,2001,4
"09/165,487",6269336,11893676,103a,2001,1
"09/165,487",6269336,10404093,103a,2001,5
"09/165,487",6269336,11268422,103a,2001,3
"09/165,487",6269336,11952713,103a,2001,9
"09/165,487",6269336,10404093,103a,2001,10
"09/165,487",6269336,10404093,103a,2001,10
"09/165,487",6269336,10404093,103a,2001,10
"09/165,487",6269336,11952713,103a,2001,13
"09/165,487",6269336,13467673,103a,2001,19
"11/937,699",7853475,12387096,103a,2010,11
"11/937,699",7853475,12387096,103a,2010,6
"11/680,116",7873893,12191939,112,2011,10
"11/680,116",7873893,12705460,103a,2011,21
"08/791,124",5857173,11999839,103a,1999,5
"08/791,124",5857173,11999839,103a,1999,11
"09/562,396",6304763,12391932,102b,2001,6
"08/760,021",5832026,12855483,103a,1998,15
"08/934,362",6078571,12567298,102b,2000,10
"08/934,362",6078571,12396448,103a,2000,21
"10/933,011",7551738,13043658,102e,2009,28
"09/359,586",6349216,11973951,102b,2002,1
"09/359,586",6349216,11973951,102b,2002,7
"09/359,586",6349216,13558248,102b,2002,24
"09/359,586",6349216,13325895,119,2002,21
"09/973,510",6965754,12486664,102b,2005,20
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,12471046,103a,2005,23
"09/973,510",6965754,13933076,102b,2005,45
"09/507,639",6493198,11720225,103a,2002,5
"09/507,639",6493198,11720225,103a,2002,1
"09/507,639",6493198,12303465,103a,2002,9
"09/507,639",6493198,11720225,103a,2002,9
"09/078,458",6157545,13079426,103a,2000,7
"10/403,711",6936361,12498742,102,2005,14
"11/872,179",7764644,12100339,102e,2010,12
"10/660,937",7519042,11093323,103a,2009,6
"10/660,937",7519042,11093323,103a,2009,9
"10/660,937",7519042,11093323,103a,2009,2
"10/660,937",7519042,11093323,103a,2009,16
"09/392,162",6319631,12685463,103a,2001,6
"09/649,699",6525677,12186605,103a,2003,2
"09/649,699",6525677,12186605,103a,2003,2
"09/665,095",6829475,11929744,103a,2004,6
"09/001,248",6175588,12162818,103a,2001,10
"09/001,248",6175588,12162818,103a,2001,10
"09/001,248",6175588,12162818,103a,2001,6
"09/001,248",6175588,12162818,103a,2001,6
"09/001,248",6175588,12350279,102e,2001,6
"09/001,248",6175588,11856678,103a,2001,3
"09/001,248",6175588,11856678,103a,2001,3
"09/001,248",6175588,11856678,103a,2001,3
"09/001,248",6175588,11856678,103a,2001,3
"09/001,248",6175588,11962040,103a,2001,4
"09/001,248",6175588,11962040,103a,2001,4
"09/001,248",6175588,11962040,103a,2001,4
"09/001,248",6175588,11962040,103a,2001,4
"09/001,248",6175588,11848664,103a,2001,16
"09/001,248",6175588,11848664,103a,2001,22
"09/001,248",6175588,12162818,103a,2001,15
"09/001,248",6175588,12162818,103a,2001,15
"09/001,248",6175588,12955722,103a,2001,21
"09/001,248",6175588,11640994,103a,2001,20
"09/001,248",6175588,11640994,103a,2001,23
"09/001,248",6175588,11848664,103a,2001,32
"08/580,916",6018671,12081141,103a,2000,11
"08/580,916",6018671,11558155,102b,2000,1
"08/580,916",6018671,12081141,103a,2000,5
"08/781,252",5805095,11819939,103a,1998,1
"09/759,846",6987738,13302525,102e,2006,14
"09/667,028",6697637,12678885,103a,2004,15
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"08/566,617",5732387,12044713,103a,1998,3
"09/703,046",6662010,13042824,103a,2003,8
"09/703,046",6662010,13042824,103a,2003,8
"10/235,895",6757337,12043348,103a,2004,10
"10/235,895",6757337,12043348,103a,2004,10
"10/744,721",7373013,11863393,112,2008,2
"10/159,994",6944455,11750045,103,2005,10
"10/159,994",6944455,11750045,103a,2005,4
"09/993,108",6756938,12034012,102b,2004,4
"09/993,108",6756938,12034012,103a,2004,18
"09/993,108",6756938,12034012,103a,2004,18
"09/993,108",6756938,12034012,103a,2004,20
"09/993,108",6756938,12034012,103a,2004,20
"09/993,108",6756938,12034012,103a,2004,20
"09/655,996",6671852,12852368,103a,2003,24
"09/655,996",6671852,12852397,103a,2003,22
"10/431,740",6822611,12738764,102b,2004,24
"90/010,282",5958006,9782412,103a,1999,3
"90/010,282",5958006,9782412,103a,1999,3
"90/010,282",5958006,9782412,103a,1999,3
"90/010,282",5958006,9782107,103a,1999,10
"90/010,282",5958006,9782107,103a,1999,10
"90/010,282",5958006,9782107,103a,1999,3
"90/010,282",5958006,11925770,102e,1999,2
"90/010,282",5958006,13043903,103a,1999,11
"90/010,282",5958006,13043903,103a,1999,11
"90/010,282",5958006,13043903,103a,1999,11
"90/010,282",5958006,13020322,102b,1999,4
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,9782412,103a,1999,8
"90/010,282",5958006,13043903,103a,1999,16
"90/010,282",5958006,13043903,103a,1999,16
"90/010,282",5958006,13043903,103a,1999,16
"90/010,282",5958006,13043903,103a,1999,16
"90/010,282",5958006,13359586,103a,1999,18
"90/010,282",5958006,13359586,103a,1999,18
"90/010,282",5958006,13359586,103a,1999,18
"90/010,282",5958006,13359586,103a,1999,18
"90/010,282",5958006,13346759,102b,1999,16
"90/010,282",5958006,13359586,103a,1999,22
"90/010,282",5958006,13359586,103a,1999,22
"90/010,282",5958006,13359586,103a,1999,22
"90/010,282",5958006,13359586,103a,1999,22
"90/010,282",5958006,13346759,102b,1999,18
"90/010,282",5958006,13359586,103a,1999,30
"90/010,282",5958006,13359586,103a,1999,30
"90/010,282",5958006,13359586,103a,1999,30
"90/010,282",5958006,13359586,103a,1999,30
"08/574,541",5958006,9782412,103a,1999,3
"08/574,541",5958006,9782412,103a,1999,3
"08/574,541",5958006,9782412,103a,1999,3
"08/574,541",5958006,9782107,103a,1999,10
"08/574,541",5958006,9782107,103a,1999,10
"08/574,541",5958006,9782107,103a,1999,3
"08/574,541",5958006,11925770,102e,1999,2
"08/574,541",5958006,13043903,103a,1999,11
"08/574,541",5958006,13043903,103a,1999,11
"08/574,541",5958006,13043903,103a,1999,11
"08/574,541",5958006,13020322,102b,1999,4
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,9782412,103a,1999,8
"08/574,541",5958006,13043903,103a,1999,16
"08/574,541",5958006,13043903,103a,1999,16
"08/574,541",5958006,13043903,103a,1999,16
"08/574,541",5958006,13043903,103a,1999,16
"08/574,541",5958006,13359586,103a,1999,18
"08/574,541",5958006,13359586,103a,1999,18
"08/574,541",5958006,13359586,103a,1999,18
"08/574,541",5958006,13359586,103a,1999,18
"08/574,541",5958006,13346759,102b,1999,16
"08/574,541",5958006,13359586,103a,1999,22
"08/574,541",5958006,13359586,103a,1999,22
"08/574,541",5958006,13359586,103a,1999,22
"08/574,541",5958006,13359586,103a,1999,22
"08/574,541",5958006,13346759,102b,1999,18
"08/574,541",5958006,13359586,103a,1999,30
"08/574,541",5958006,13359586,103a,1999,30
"08/574,541",5958006,13359586,103a,1999,30
"08/574,541",5958006,13359586,103a,1999,30
"09/727,730",6617075,11338709,103a,2003,10
"10/928,235",7138979,11825993,103a,2006,7
"10/928,235",7138979,11825993,103a,2006,7
"10/928,235",7138979,11825993,103a,2006,7
"09/648,776",6564047,12163631,103a,2003,4
"09/648,776",6564047,11686342,103a,2003,5
"10/427,120",7013143,11118063,103a,2006,7
"10/427,120",7013143,11118063,103a,2006,7
"10/427,120",7013143,11118063,103a,2006,2
"10/427,120",7013143,11118063,103a,2006,2
"10/427,120",7013143,10941266,103a,2006,1
"10/427,120",7013143,11176579,103,2006,8
"10/427,120",7013143,11176579,103a,2006,3
"10/427,120",7013143,10941266,103a,2006,6
"10/427,120",7013143,13527279,103a,2006,23
"09/089,035",5987021,11870181,103a,1999,1
"09/638,944",6532593,11250086,103a,2003,3
"09/638,944",6532593,11898996,103,2003,12
"09/638,944",6532593,11250086,103a,2003,6
"09/638,944",6532593,11060224,103a,2003,3
"09/638,944",6532593,12951536,119a,2003,24
"09/638,944",6532593,12850121,103a,2003,21
"11/119,852",8018893,12951149,102e,2011,21
"11/119,852",8018893,12951149,103a,2011,21
"11/119,852",8018893,13003618,102,2011,24
"11/119,852",8018893,12739713,103a,2011,20
"11/119,852",8018893,12429340,103a,2011,31
"09/001,625",6138042,12183156,103,2000,12
"09/001,625",6138042,12183156,103a,2000,12
"09/001,625",6138042,12183156,103a,2000,5
"11/674,998",7778653,13162318,102e,2010,13
"08/625,499",6219840,10881979,103a,2001,6
"09/728,144",6484033,11930362,103a,2002,1
"09/728,144",6484033,12142207,103a,2002,3
"09/728,144",6484033,12142207,103a,2002,8
"10/372,919",7209717,12477862,103a,2007,8
"10/372,919",7209717,12477862,103a,2007,12
"12/207,773",7944484,12381422,103a,2011,9
"12/207,773",7944484,12322822,103a,2011,14
"09/549,004",6882709,11853591,103a,2005,12
"09/549,004",6882709,10974497,103a,2005,9
"09/549,004",6882709,11698372,103a,2005,5
"09/549,004",6882709,11698372,103a,2005,5
"09/549,004",6882709,11698372,103a,2005,5
"09/549,004",6882709,11698372,103a,2005,5
"09/549,004",6882709,11698372,103a,2005,5
"09/549,004",6882709,11586482,103a,2005,3
"09/549,004",6882709,11586482,103a,2005,3
"09/549,004",6882709,11780760,103a,2005,4
"09/549,004",6882709,11853591,103a,2005,6
"09/549,004",6882709,11780788,103a,2005,7
"09/549,004",6882709,11853591,103a,2005,2
"09/549,004",6882709,11651092,103a,2005,8
"09/549,004",6882709,11780748,103a,2005,9
"09/549,004",6882709,11780748,103a,2005,4
"09/549,004",6882709,10974497,103a,2005,4
"09/549,004",6882709,12844165,119,2005,22
"09/549,004",6882709,12844165,103a,2005,22
"09/549,004",6882709,12844165,103a,2005,22
"09/549,004",6882709,12844165,103a,2005,22
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,12844165,103a,2005,17
"09/549,004",6882709,11651092,103a,2005,15
"09/549,004",6882709,12844165,119,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12844165,103a,2005,19
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12190406,103a,2005,17
"09/549,004",6882709,12830585,103a,2005,23
"09/549,004",6882709,12830585,103a,2005,23
"09/549,004",6882709,12830585,103a,2005,23
"09/549,004",6882709,12844165,102b,2005,25
"09/549,004",6882709,12844165,103a,2005,25
"09/549,004",6882709,12844165,103a,2005,25
"09/549,004",6882709,12844165,103a,2005,25
"09/549,004",6882709,12830585,103a,2005,27
"09/549,004",6882709,12830585,103a,2005,27
"09/549,004",6882709,12830585,103a,2005,27
"09/512,140",6307846,11050357,102b,2001,7
"09/512,140",6307846,11856788,103a,2001,1
"09/512,140",6307846,11765994,103a,2001,3
"09/512,140",6307846,11765994,103a,2001,3
"09/512,140",6307846,12197428,103a,2001,8
"09/512,140",6307846,11050357,102b,2001,1
"09/512,140",6307846,11681156,103a,2001,12
"09/512,140",6307846,11050357,102b,2001,16
"09/512,140",6307846,11050357,103a,2001,16
"09/512,140",6307846,13051659,103a,2001,23
"09/512,140",6307846,11681156,103a,2001,18
"09/512,140",6307846,13051659,103a,2001,17
"09/512,140",6307846,11050357,119,2001,22
"09/512,140",6307846,11050357,102b,2001,22
"09/512,140",6307846,11050357,103a,2001,22
"08/572,837",5656917,13357137,112,1997,29
"10/383,599",6876543,12360750,103a,2005,6
"10/383,599",6876543,12360750,103a,2005,6
"08/944,118",5991447,12087488,103a,1999,10
"08/944,118",5991447,10588404,103a,1999,5
"08/944,118",5991447,10588404,103a,1999,9
"10/002,047",7042879,12030284,103,2006,4
"09/494,444",6968158,11957595,103a,2005,3
"10/195,858",7108914,12044654,103a,2006,7
"10/195,858",7108914,12595905,103a,2006,5
"08/904,990",6044158,11459193,103,2000,2
"08/941,383",6223035,12159377,103a,2001,6
"10/606,423",7567239,12061368,102e,2009,2
"10/172,035",6791995,11586383,103,2004,4
"10/172,035",6791995,11586383,103,2004,4
"10/172,035",6791995,12499450,103a,2004,4
"10/131,414",7020198,11959937,103a,2006,8
"08/572,413",5661635,13304554,103a,1997,17
"08/572,413",5661635,13304554,103,1997,17
"08/581,010",5966671,11519049,103a,1999,3
"09/495,162",6321073,11131147,103a,2001,1
"09/495,162",6321073,11862330,103a,2001,6
"09/495,162",6321073,11862330,103a,2001,1
"09/495,162",6321073,11131147,103a,2001,5
"09/495,162",6321073,11131147,103a,2001,5
"09/495,162",6321073,11376502,103a,2001,9
"09/495,162",6321073,11376502,103a,2001,9
"09/495,162",6321073,11131147,103a,2001,10
"09/495,162",6321073,11131147,103a,2001,10
"09/495,162",6321073,11376502,103a,2001,17
"09/495,162",6321073,11376502,103a,2001,17
"09/495,162",6321073,11376502,103a,2001,17
"09/495,162",6321073,11376502,103a,2001,22
"09/495,162",6321073,11376502,103a,2001,22
"09/495,162",6321073,11373612,119,2001,18
"09/495,162",6321073,11862330,103a,2001,16
"10/314,650",7095403,12391564,103a,2006,17
"09/818,767",6901122,13001194,103,2005,17
"09/818,767",6901122,13001598,103,2005,17
"09/818,767",6901122,13001269,103,2005,17
"08/609,257",5781547,11929580,102b,1998,4
"08/609,257",5781547,11929580,103a,1998,4
"08/609,257",5781547,11929580,103a,1998,4
"11/531,122",7461106,12196414,119,2008,10
"11/531,122",7461106,12047632,119,2008,10
"11/531,122",7461106,12047632,119,2008,10
"11/531,122",7461106,12047632,112,2008,3
"11/531,122",7461106,12047632,112,2008,3
"11/531,122",7461106,12047632,112,2008,3
"10/035,039",7126996,12346387,103a,2006,3
"10/035,039",7126996,12346387,103a,2006,9
"10/035,039",7126996,11963265,102b,2006,10
"10/035,039",7126996,11963265,103a,2006,10
"10/035,039",7126996,12167450,103a,2006,5
"10/035,039",7126996,12167450,103a,2006,5
"10/035,039",7126996,12167450,103a,2006,5
"10/035,039",7126996,12167450,119,2006,10
"10/035,039",7126996,12167450,103a,2006,10
"10/035,039",7126996,12167450,103a,2006,10
"10/035,039",7126996,13555780,103a,2006,23
"10/035,039",7126996,12167450,103a,2006,16
"10/035,039",7126996,12167450,103a,2006,16
"10/035,039",7126996,12167450,103a,2006,16
"10/035,039",7126996,13555773,103a,2006,22
"10/035,039",7126996,13555758,103a,2006,22
"10/035,039",7126996,12528419,103a,2006,14
"10/035,039",7126996,13555743,103a,2006,22
"10/035,039",7126996,13371162,103a,2006,28
"10/035,039",7126996,14175564,119a,2006,45
"09/088,786",6108046,11932978,103a,2000,11
"09/088,786",6108046,11932978,103a,2000,11
"09/088,786",6108046,11932978,103a,2000,11
"09/088,786",6108046,11646219,103a,2000,11
"09/088,786",6108046,11646219,103a,2000,11
"09/088,786",6108046,11646219,103a,2000,7
"09/088,786",6108046,11646219,103a,2000,7
"09/560,977",6658272,12856275,103a,2003,3
"09/560,977",6658272,12856275,103a,2003,3
"09/560,977",6658272,12019291,103,2003,9
"09/560,977",6658272,12019291,103,2003,9
"09/560,977",6658272,10294286,103a,2003,3
"09/560,977",6658272,10294286,103a,2003,3
"09/560,977",6658272,10813280,102e,2003,1
"09/560,977",6658272,12856275,103,2003,10
"09/560,977",6658272,12856275,103,2003,10
"09/560,977",6658272,12856275,103a,2003,19
"09/560,977",6658272,12856275,103a,2003,19
"09/560,977",6658272,12941924,103a,2003,21
"09/560,977",6658272,12856275,103,2003,15
"09/560,977",6658272,12856275,103a,2003,15
"09/667,354",6421607,11933149,102b,2002,10
"09/667,354",6421607,11933149,102b,2002,3
"10/370,397",6795768,12164916,102b,2004,4
"10/370,397",6795768,12164916,102b,2004,12
"10/370,397",6795768,12164916,102b,2004,12
"08/815,500",5966656,12901876,103a,1999,13
"08/815,500",5966656,12901876,103a,1999,13
"08/815,500",5966656,12901876,103a,1999,21
"08/382,338",6009325,13551726,119,1999,21
"08/382,338",6009325,13337357,119,1999,19
"11/027,626",7310375,12951732,119,2007,16
"11/027,626",7310375,12951732,119a,2007,26
"08/895,932",5995840,11423931,103a,1999,6
"10/334,161",7282891,12839797,102e,2007,20
"09/215,527",6128287,11549931,103a,2000,4
"09/215,527",6128287,11549931,103a,2000,13
"11/283,075",7697480,11282331,119a,2010,3
"11/283,075",7697480,11282331,119a,2010,3
"11/283,075",7697480,12068740,112,2010,12
"09/667,847",6609004,11728195,103a,2003,1
"09/667,847",6609004,11728195,103a,2003,1
"10/807,549",7242923,11877956,103a,2007,5
"10/807,549",7242923,11653408,103a,2007,13
"09/629,321",7239896,12573264,103a,2007,12
"09/629,321",7239896,12573264,103a,2007,12
"09/629,321",7239896,12587227,103a,2007,10
"09/629,321",7239896,12587227,103a,2007,15
"09/629,321",7239896,13558531,103a,2007,22
"11/286,944",7586990,12096220,103a,2009,3
"11/286,944",7586990,12399769,103a,2009,8
"10/423,243",7640373,12352486,103a,2009,3
"10/423,243",7640373,12352486,103,2009,3
"10/423,243",7640373,12352486,103a,2009,3
"10/423,243",7640373,12125253,103a,2009,6
"10/423,243",7640373,12352486,103a,2009,8
"08/719,189",5754953,11696713,103a,1998,6
"11/281,019",7266198,13041303,103a,2007,21
"11/281,019",7266198,12911406,103a,2007,21
"11/281,019",7266198,13336411,102b,2007,13
"11/281,019",7266198,13041303,103a,2007,27
"11/281,019",7266198,12911406,103a,2007,25
"11/429,681",7676583,12383176,103a,2010,6
"09/618,376",6404764,12197858,102b,2002,16
"08/791,695",5893036,12900847,103a,1999,17
"09/717,761",6961427,12818062,103a,2005,16
"08/922,055",6049707,11343751,103,2000,7
"08/922,055",6049707,13451839,103a,2000,24
"08/922,055",6049707,13451839,103,2000,24
"11/531,746",7821996,12500369,103a,2010,5
"09/096,861",6170005,11419240,103a,2001,6
"09/096,861",6170005,11947489,103a,2001,6
"09/096,861",6170005,11947489,103a,2001,11
"09/096,861",6170005,11666278,103a,2001,18
"08/687,882",5818887,12717645,103a,1998,14
"11/301,301",7558587,12197729,103a,2009,20
"11/301,301",7558587,12197729,103a,2009,13
"09/369,624",6151362,11677335,103a,2000,11
"09/369,624",6151362,11677335,103a,2000,6
"10/000,289",6865384,10289896,103a,2005,11
"10/000,289",6865384,10289896,103a,2005,5
"11/305,780",7331793,13432443,102a,2008,24
"10/334,095",7085576,12190952,102b,2006,9
"10/334,095",7085576,12190952,103a,2006,9
"10/334,095",7085576,12196650,103a,2006,11
"10/334,095",7085576,12196650,103a,2006,16
"10/377,464",7653383,11609760,103a,2010,6
"10/377,464",7653383,11609760,103a,2010,12
"10/377,464",7653383,11609760,103a,2010,19
"10/820,920",7019491,12163614,103a,2006,8
"10/820,920",7019491,12163614,103a,2006,4
"10/820,920",7019491,12163614,103a,2006,17
"10/813,476",7426175,11691549,103a,2008,5
"09/184,614",6169886,12257609,103a,2001,6
"08/594,602",5738583,11635804,103a,1998,7
"08/594,602",5738583,11635804,103a,1998,7
"08/594,602",5738583,11323852,103a,1998,10
"08/594,602",5738583,11875692,102e,1998,9
